CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Netherlands,Production,2018.0,1000 tonnes,0.0,Im
New Caledonia,Production,2018.0,1000 tonnes,0.0,Im
New Zealand,Production,2018.0,1000 tonnes,0.0,Im
Nicaragua,Production,2018.0,1000 tonnes,0.0,Im
Norway,Production,2018.0,1000 tonnes,0.0,Im
Panama,Production,2018.0,1000 tonnes,0.0,Im
Peru,Production,2018.0,1000 tonnes,0.0,Im
Poland,Production,2018.0,1000 tonnes,0.0,Im
Republic of Korea,Production,2018.0,1000 tonnes,0.0,Im
Saint Kitts and Nevis,Production,2018.0,1000 tonnes,0.0,Im
Saint Lucia,Production,2018.0,1000 tonnes,0.0,Im
Saint Vincent and the Grenadines,Production,2018.0,1000 tonnes,0.0,Im
Sao Tome and Principe,Production,2018.0,1000 tonnes,0.0,Im
Seychelles,Production,2018.0,1000 tonnes,0.0,Im
Sweden,Production,2018.0,1000 tonnes,0.0,Im
Turkey,Production,2018.0,1000 tonnes,0.0,Im
United Kingdom of Great Britain and Northern Ireland,Production,2018.0,1000 tonnes,0.0,Im
United States of America,Production,2018.0,1000 tonnes,0.0,Im
Zimbabwe,Production,2018.0,1000 tonnes,0.0,Im
Philippines,Production,2017.0,1000 tonnes,1270.0,Im
Indonesia,Production,2017.0,1000 tonnes,968.0,Im
India,Production,2017.0,1000 tonnes,247.0,Im
Viet Nam,Production,2017.0,1000 tonnes,169.0,Im
Mexico,Production,2017.0,1000 tonnes,129.0,Im
Sri Lanka,Production,2017.0,1000 tonnes,55.0,Im
Melanesia,Production,2017.0,1000 tonnes,47.0,A
Malaysia,Production,2017.0,1000 tonnes,44.0,Im
Mozambique,Production,2017.0,1000 tonnes,30.0,Im
Thailand,Production,2017.0,1000 tonnes,28.0,Im
Papua New Guinea,Production,2017.0,1000 tonnes,25.0,Im
Bangladesh,Production,2017.0,1000 tonnes,23.0,Im
Côte d'Ivoire,Production,2017.0,1000 tonnes,17.0,Im
Polynesia,Production,2017.0,1000 tonnes,15.0,A
United Republic of Tanzania,Production,2017.0,1000 tonnes,13.0,Im
