CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Thailand,Processing,1997.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1997.0,1000 tonnes,0.0,A
Brazil,Processing,1996.0,1000 tonnes,0.0,A
Canada,Processing,1996.0,1000 tonnes,0.0,A
Denmark,Processing,1996.0,1000 tonnes,0.0,A
France,Processing,1996.0,1000 tonnes,0.0,A
Hungary,Processing,1996.0,1000 tonnes,0.0,A
Japan,Processing,1996.0,1000 tonnes,0.0,A
Romania,Processing,1996.0,1000 tonnes,0.0,A
Sweden,Processing,1996.0,1000 tonnes,0.0,A
Thailand,Processing,1996.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1996.0,1000 tonnes,0.0,A
Brazil,Processing,1995.0,1000 tonnes,0.0,A
Canada,Processing,1995.0,1000 tonnes,0.0,A
Denmark,Processing,1995.0,1000 tonnes,0.0,A
France,Processing,1995.0,1000 tonnes,0.0,A
Hungary,Processing,1995.0,1000 tonnes,0.0,A
Japan,Processing,1995.0,1000 tonnes,0.0,A
Romania,Processing,1995.0,1000 tonnes,0.0,A
Sweden,Processing,1995.0,1000 tonnes,0.0,A
Thailand,Processing,1995.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1995.0,1000 tonnes,0.0,A
Brazil,Processing,1994.0,1000 tonnes,0.0,A
Canada,Processing,1994.0,1000 tonnes,0.0,A
Denmark,Processing,1994.0,1000 tonnes,0.0,A
France,Processing,1994.0,1000 tonnes,0.0,A
Hungary,Processing,1994.0,1000 tonnes,0.0,A
Japan,Processing,1994.0,1000 tonnes,0.0,A
Romania,Processing,1994.0,1000 tonnes,0.0,A
Sweden,Processing,1994.0,1000 tonnes,0.0,A
Thailand,Processing,1994.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1994.0,1000 tonnes,0.0,A
Brazil,Processing,1993.0,1000 tonnes,0.0,A
Canada,Processing,1993.0,1000 tonnes,0.0,A
Denmark,Processing,1993.0,1000 tonnes,0.0,A
France,Processing,1993.0,1000 tonnes,0.0,A
Hungary,Processing,1993.0,1000 tonnes,0.0,A
Japan,Processing,1993.0,1000 tonnes,0.0,A
Romania,Processing,1993.0,1000 tonnes,0.0,A
Sweden,Processing,1993.0,1000 tonnes,0.0,A
Thailand,Processing,1993.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1993.0,1000 tonnes,0.0,A
Brazil,Processing,1992.0,1000 tonnes,0.0,A
Canada,Processing,1992.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1992.0,1000 tonnes,0.0,A
Denmark,Processing,1992.0,1000 tonnes,0.0,A
France,Processing,1992.0,1000 tonnes,0.0,A
Hungary,Processing,1992.0,1000 tonnes,0.0,A
Japan,Processing,1992.0,1000 tonnes,0.0,A
Romania,Processing,1992.0,1000 tonnes,0.0,A
Sweden,Processing,1992.0,1000 tonnes,0.0,A
Thailand,Processing,1992.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1992.0,1000 tonnes,0.0,A
Brazil,Processing,1991.0,1000 tonnes,0.0,A
Canada,Processing,1991.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1991.0,1000 tonnes,0.0,A
Denmark,Processing,1991.0,1000 tonnes,0.0,A
France,Processing,1991.0,1000 tonnes,0.0,A
Hungary,Processing,1991.0,1000 tonnes,0.0,A
Japan,Processing,1991.0,1000 tonnes,0.0,A
Romania,Processing,1991.0,1000 tonnes,0.0,A
Sweden,Processing,1991.0,1000 tonnes,0.0,A
Thailand,Processing,1991.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1991.0,1000 tonnes,0.0,A
Brazil,Processing,1990.0,1000 tonnes,0.0,A
Canada,Processing,1990.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1990.0,1000 tonnes,0.0,A
Denmark,Processing,1990.0,1000 tonnes,0.0,A
France,Processing,1990.0,1000 tonnes,0.0,A
Hungary,Processing,1990.0,1000 tonnes,0.0,A
Japan,Processing,1990.0,1000 tonnes,0.0,A
Romania,Processing,1990.0,1000 tonnes,0.0,A
Sweden,Processing,1990.0,1000 tonnes,0.0,A
Thailand,Processing,1990.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1990.0,1000 tonnes,0.0,A
Brazil,Processing,1989.0,1000 tonnes,0.0,A
Canada,Processing,1989.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1989.0,1000 tonnes,0.0,A
Denmark,Processing,1989.0,1000 tonnes,0.0,A
France,Processing,1989.0,1000 tonnes,0.0,A
Hungary,Processing,1989.0,1000 tonnes,0.0,A
Japan,Processing,1989.0,1000 tonnes,0.0,A
Romania,Processing,1989.0,1000 tonnes,0.0,A
Sweden,Processing,1989.0,1000 tonnes,0.0,A
Thailand,Processing,1989.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1989.0,1000 tonnes,0.0,A
Brazil,Processing,1988.0,1000 tonnes,0.0,A
Canada,Processing,1988.0,1000 tonnes,0.0,A
Czechoslovakia,Processing,1988.0,1000 tonnes,0.0,A
Denmark,Processing,1988.0,1000 tonnes,0.0,A
France,Processing,1988.0,1000 tonnes,0.0,A
Hungary,Processing,1988.0,1000 tonnes,0.0,A
Japan,Processing,1988.0,1000 tonnes,0.0,A
Romania,Processing,1988.0,1000 tonnes,0.0,A
Sweden,Processing,1988.0,1000 tonnes,0.0,A
Thailand,Processing,1988.0,1000 tonnes,0.0,A
Zimbabwe,Processing,1988.0,1000 tonnes,0.0,A
Brazil,Processing,1987.0,1000 tonnes,0.0,A
Canada,Processing,1987.0,1000 tonnes,0.0,A
