CountryorArea,Element,Year,Unit,Value,ValueFootnotes
Netherlands,Processing,2013.0,1000 tonnes,0.0,Im
Niger,Processing,2013.0,1000 tonnes,0.0,Im
Nigeria,Processing,2013.0,1000 tonnes,0.0,Im
Peru,Processing,2013.0,1000 tonnes,0.0,Im
Portugal,Processing,2013.0,1000 tonnes,0.0,Im
Rwanda,Processing,2013.0,1000 tonnes,0.0,Im
Senegal,Processing,2013.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2013.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2013.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2013.0,1000 tonnes,0.0,Im
Thailand,Processing,2013.0,1000 tonnes,0.0,Im
Uganda,Processing,2013.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2013.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2013.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2013.0,1000 tonnes,0.0,Im
Yemen,Processing,2013.0,1000 tonnes,0.0,Im
Zambia,Processing,2013.0,1000 tonnes,0.0,Im
Brazil,Processing,2012.0,1000 tonnes,318.0,Im
Chile,Processing,2012.0,1000 tonnes,17.0,Im
Russian Federation,Processing,2012.0,1000 tonnes,10.0,Im
Czechia,Processing,2012.0,1000 tonnes,4.0,Im
Lithuania,Processing,2012.0,1000 tonnes,4.0,Im
Poland,Processing,2012.0,1000 tonnes,3.0,Im
Denmark,Processing,2012.0,1000 tonnes,1.0,Im
Latvia,Processing,2012.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2012.0,1000 tonnes,0.0,Im
Angola,Processing,2012.0,1000 tonnes,0.0,Im
Belarus,Processing,2012.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2012.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2012.0,1000 tonnes,0.0,Im
Cambodia,Processing,2012.0,1000 tonnes,0.0,Im
Cameroon,Processing,2012.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2012.0,1000 tonnes,0.0,Im
Chad,Processing,2012.0,1000 tonnes,0.0,Im
Colombia,Processing,2012.0,1000 tonnes,0.0,Im
Congo,Processing,2012.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2012.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2012.0,1000 tonnes,0.0,Im
Ecuador,Processing,2012.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2012.0,1000 tonnes,0.0,Im
Guatemala,Processing,2012.0,1000 tonnes,0.0,Im
Guinea,Processing,2012.0,1000 tonnes,0.0,Im
Haiti,Processing,2012.0,1000 tonnes,0.0,Im
Indonesia,Processing,2012.0,1000 tonnes,0.0,Im
Iraq,Processing,2012.0,1000 tonnes,0.0,Im
Ireland,Processing,2012.0,1000 tonnes,0.0,Im
Kazakhstan,Processing,2012.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2012.0,1000 tonnes,0.0,Im
Madagascar,Processing,2012.0,1000 tonnes,0.0,Im
Malawi,Processing,2012.0,1000 tonnes,0.0,Im
Mexico,Processing,2012.0,1000 tonnes,0.0,Im
Mozambique,Processing,2012.0,1000 tonnes,0.0,Im
Myanmar,Processing,2012.0,1000 tonnes,0.0,Im
Nepal,Processing,2012.0,1000 tonnes,0.0,Im
Netherlands,Processing,2012.0,1000 tonnes,0.0,Im
Niger,Processing,2012.0,1000 tonnes,0.0,Im
Nigeria,Processing,2012.0,1000 tonnes,0.0,Im
Peru,Processing,2012.0,1000 tonnes,0.0,Im
Portugal,Processing,2012.0,1000 tonnes,0.0,Im
Rwanda,Processing,2012.0,1000 tonnes,0.0,Im
Senegal,Processing,2012.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2012.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2012.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2012.0,1000 tonnes,0.0,Im
Thailand,Processing,2012.0,1000 tonnes,0.0,Im
Uganda,Processing,2012.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2012.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2012.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2012.0,1000 tonnes,0.0,Im
Yemen,Processing,2012.0,1000 tonnes,0.0,Im
Zambia,Processing,2012.0,1000 tonnes,0.0,Im
Brazil,Processing,2011.0,1000 tonnes,313.0,Im
Chile,Processing,2011.0,1000 tonnes,16.0,Im
Lithuania,Processing,2011.0,1000 tonnes,3.0,Im
Poland,Processing,2011.0,1000 tonnes,3.0,Im
Russian Federation,Processing,2011.0,1000 tonnes,3.0,Im
Denmark,Processing,2011.0,1000 tonnes,2.0,Im
Latvia,Processing,2011.0,1000 tonnes,1.0,Im
Afghanistan,Processing,2011.0,1000 tonnes,0.0,Im
Angola,Processing,2011.0,1000 tonnes,0.0,Im
Belarus,Processing,2011.0,1000 tonnes,0.0,Im
Bolivia (Plurinational State of),Processing,2011.0,1000 tonnes,0.0,Im
Burkina Faso,Processing,2011.0,1000 tonnes,0.0,Im
Cambodia,Processing,2011.0,1000 tonnes,0.0,Im
Cameroon,Processing,2011.0,1000 tonnes,0.0,Im
Central African Republic,Processing,2011.0,1000 tonnes,0.0,Im
Chad,Processing,2011.0,1000 tonnes,0.0,Im
Colombia,Processing,2011.0,1000 tonnes,0.0,Im
Congo,Processing,2011.0,1000 tonnes,0.0,Im
Côte d'Ivoire,Processing,2011.0,1000 tonnes,0.0,Im
Czechia,Processing,2011.0,1000 tonnes,0.0,Im
Democratic People's Republic of Korea,Processing,2011.0,1000 tonnes,0.0,Im
Ecuador,Processing,2011.0,1000 tonnes,0.0,Im
Ethiopia,Processing,2011.0,1000 tonnes,0.0,Im
Guatemala,Processing,2011.0,1000 tonnes,0.0,Im
Guinea,Processing,2011.0,1000 tonnes,0.0,Im
Haiti,Processing,2011.0,1000 tonnes,0.0,Im
Indonesia,Processing,2011.0,1000 tonnes,0.0,Im
Iraq,Processing,2011.0,1000 tonnes,0.0,Im
Ireland,Processing,2011.0,1000 tonnes,0.0,Im
Kazakhstan,Processing,2011.0,1000 tonnes,0.0,Im
Kyrgyzstan,Processing,2011.0,1000 tonnes,0.0,Im
Madagascar,Processing,2011.0,1000 tonnes,0.0,Im
Malawi,Processing,2011.0,1000 tonnes,0.0,Im
Mexico,Processing,2011.0,1000 tonnes,0.0,Im
Mozambique,Processing,2011.0,1000 tonnes,0.0,Im
Myanmar,Processing,2011.0,1000 tonnes,0.0,Im
Nepal,Processing,2011.0,1000 tonnes,0.0,Im
Netherlands,Processing,2011.0,1000 tonnes,0.0,Im
Niger,Processing,2011.0,1000 tonnes,0.0,Im
Nigeria,Processing,2011.0,1000 tonnes,0.0,Im
Peru,Processing,2011.0,1000 tonnes,0.0,Im
Portugal,Processing,2011.0,1000 tonnes,0.0,Im
Rwanda,Processing,2011.0,1000 tonnes,0.0,Im
Senegal,Processing,2011.0,1000 tonnes,0.0,Im
Sri Lanka,Processing,2011.0,1000 tonnes,0.0,Im
Syrian Arab Republic,Processing,2011.0,1000 tonnes,0.0,Im
Tajikistan,Processing,2011.0,1000 tonnes,0.0,Im
Thailand,Processing,2011.0,1000 tonnes,0.0,Im
Uganda,Processing,2011.0,1000 tonnes,0.0,Im
United Republic of Tanzania,Processing,2011.0,1000 tonnes,0.0,Im
Uzbekistan,Processing,2011.0,1000 tonnes,0.0,Im
Venezuela (Bolivarian Republic of),Processing,2011.0,1000 tonnes,0.0,Im
Yemen,Processing,2011.0,1000 tonnes,0.0,Im
Zambia,Processing,2011.0,1000 tonnes,0.0,Im
Brazil,Processing,2010.0,1000 tonnes,319.0,ImBr
Chile,Processing,2010.0,1000 tonnes,18.0,ImBr
Russian Federation,Processing,2010.0,1000 tonnes,6.0,ImBr
Lithuania,Processing,2010.0,1000 tonnes,4.0,ImBr
Poland,Processing,2010.0,1000 tonnes,3.0,ImBr
Denmark,Processing,2010.0,1000 tonnes,2.0,ImBr
Latvia,Processing,2010.0,1000 tonnes,1.0,ImBr
Afghanistan,Processing,2010.0,1000 tonnes,0.0,ImBr
Angola,Processing,2010.0,1000 tonnes,0.0,ImBr
Belarus,Processing,2010.0,1000 tonnes,0.0,ImBr
Bolivia (Plurinational State of),Processing,2010.0,1000 tonnes,0.0,ImBr
Burkina Faso,Processing,2010.0,1000 tonnes,0.0,ImBr
Cambodia,Processing,2010.0,1000 tonnes,0.0,ImBr
Cameroon,Processing,2010.0,1000 tonnes,0.0,ImBr
Central African Republic,Processing,2010.0,1000 tonnes,0.0,ImBr
Chad,Processing,2010.0,1000 tonnes,0.0,ImBr
Colombia,Processing,2010.0,1000 tonnes,0.0,ImBr
Congo,Processing,2010.0,1000 tonnes,0.0,ImBr
Côte d'Ivoire,Processing,2010.0,1000 tonnes,0.0,ImBr
Czechia,Processing,2010.0,1000 tonnes,0.0,ImBr
Democratic People's Republic of Korea,Processing,2010.0,1000 tonnes,0.0,ImBr
Ecuador,Processing,2010.0,1000 tonnes,0.0,ImBr
Ethiopia,Processing,2010.0,1000 tonnes,0.0,ImBr
Guatemala,Processing,2010.0,1000 tonnes,0.0,ImBr
Guinea,Processing,2010.0,1000 tonnes,0.0,ImBr
Haiti,Processing,2010.0,1000 tonnes,0.0,ImBr
